17908240_1|17908240|125|#section_info|0:0|we have found that the reduction in M1 mACh receptor responsiveness is decreased in quiescent |#main_body|GO:0009961|response to 1-aminocyclopropane-1-carboxylic acid|#go_definition|IEP|GOA|Mch1|#gene_synonym
0.64	17908240_12|17908240|2283|abstract|0:0|2005) and cholinergic neurotransmission has long been associated with cognitive processes, such as learning and memory (Blokland 1995; Fadda et al.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.64	17908240_22|17908240|3572|abstract|0:0|1999; Nash et al.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.64	17908240_52|17908240|7956|Materials and methods|0:0|Activation of PLC, reflecting an increase in cytosolic inositol 1,4,5-trisphosphate (IP3) and/or a decrease in phosphatidylinositol 4,5-bisphosphate, was measured as the relative change in fluorescence detected in an area of interest as described previously (Nash et al.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.64	17908240_90|17908240|11513|Results|0:0|1999; Nash et al.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.64	17908240_213|17908240|37977|Discussion|0:0|1987; Bacci et al.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.64	17908240_215|17908240|37977|Discussion|0:0|2001; Liu et al.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.63	17908240_26|17908240|3572|abstract|0:0|2004), and there is much evidence that mACh receptors can modulate oscillation frequency in hippocampal networks (see Cobb and Davies 2005).|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.62	17908240_4|17908240|2283|abstract|0:0|1995; Rouse et al.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.62	17908240_14|17908240|3572|abstract|0:0|We have also already provided substantial evidence that M1 mACh receptor/PLC signalling in hippocampal neurons is regulated by G protein-coupled receptor kinases (GRKs).|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.62	17908240_18|17908240|3572|abstract|0:0|2003; Gainetdinov et al.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.62	17908240_223|17908240|41645|Discussion|0:0|1989; Arbuzova et al.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.62	17908240_226|17908240|41645|Discussion|0:0|2005) and in cerebellar granule cells (Young et al.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.61	17908240_7|17908240|2283|abstract|0:0|Effective transmission of cholinergic input is mediated by nicotinic and muscarinic acetylcholine (mACh) receptors, with the M1 and M3 mACh receptor subtypes being expressed on principal neurons (Levey et al.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.61	17908240_17|17908240|3572|abstract|0:0|However, there is still little direct evidence for their role in neuronal signalling (Willets et al.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
##EndOfRet##
17908240_9|17908240|3572|#section_info|0:0|whilst endogenous GRK2 is able to use both phosphorylation-dependent and -independent (through the direct interaction of the regulator of G-protein signalling-like domain on the N-terminus of GRK2 and GTP-bound Galphaq/11) mechanisms to regulate M1 mACh receptors in PLC signalling and desensitization (Willets et al. 2004, 2005). |#main_body|GO:0007207|phospholipase C-activating G-protein coupled acetylcholine receptor signaling pathway|#go_definition|TAS|GOA|Grk4(59077)|#gene_synonym
0.73	17908240_250|17908240|49070|Discussion|0:0|Selective regulation of Galphaq/11 by an RGS domain in the G protein-coupled receptor kinase, GRK2|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.69	17908240_233|17908240|45007|Discussion|0:0|There is substantial evidence that GRK-mediated phosphorylation of mACh receptors brings about the recruitment of arrestins that enhance receptor internalization and lead to the redistribution of receptors to organellar compartments within the cytoplasm in primary neurons (Volpicelli and Levey 2004; Bernard et al.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.69	17908240_283|17908240|52203|Discussion|0:0|Roles of phosphorylation-dependent and -independent mechanisms in the regulation of M1 muscarinic acetylcholine receptors by G protein-coupled receptor kinase 2 in hippocampal neurons|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.68	17908240_142|17908240|20989|Results|0:0|Effects of inhibiting endogenous G protein-coupled receptor kinase (GRK) 2 and GRK6 activities on M1 muscarinic acetylcholine (mACh) receptor responsiveness.|#fig_caption|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.67	17908240_14|17908240|3572|abstract|0:0|We have also already provided substantial evidence that M1 mACh receptor/PLC signalling in hippocampal neurons is regulated by G protein-coupled receptor kinases (GRKs).|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.67	17908240_231|17908240|45007|Discussion|0:0|As such it provides the first evidence that ionotropic glutamate receptor-mediated synaptic activity can dramatically alter M1 mACh receptor responsiveness by mechanisms involving both GRK2 and PKC(s) in primary neurons.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.65	17908240_282|17908240|52019|Discussion|0:0|Imaging of muscarinic acetylcholine receptor signaling in hippocampal neurons: evidence for phosphorylation-dependent and -independent regulation by G-protein-coupled receptor kinases|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.64	17908240_139|17908240|19589|Results|0:0|Involvement of GRKs in M1 mACh receptor desensitization|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.62	17908240_219|17908240|37977|Discussion|0:0|We have also shown that activation of M1 mACh receptors can increase synaptic excitability in hippocampal neurons, probably via an agonist-mediated depletion of phosphatidylinositol 4,5-bisphosphate and activation of Ih (Young et al.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.62	17908240_221|17908240|40034|Discussion|0:0|Our current data also emphasize that the role of GRK2 in this regulation is dependent on its kinase activity.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.62	17908240_276|17908240|51402|Discussion|0:0|A novel surface on a regulator of G protein signaling homology domain for binding Galpha-subunits|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.61	17908240_152|17908240|24210|Results|0:0|Neurons were co-transfected with PH domain of PLCdelta tagged to enhanced green fluorescent protein and empty vector (pcDNA3) or D110A,K220RG protein-coupled receptor kinase (GRK) 2 and changes in receptor responsiveness determined using the standard R1/Rmax/R2 protocol (see Experimental Procedures).|#fig_caption|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
##EndOfRet##
17908240_10|17908240|19645|#section_info|0:0|In D110A,K220RGRK2-transfected neurons the R2/R1 ratio difference was dramatically reduced indicating that inhibition of endogenous GRK2 attenuates M1 mACh receptor desensitization under all conditions,|#main_body|GO:0002029|desensitization of G-protein coupled receptor protein signaling pathway|#go_definition|IMP|GOA|Adrbk1(25238)|#gene_synonym
0.73	17908240_138|17908240|18871|Results|0:0|Under these conditions picrotoxin failed to produce any change in the R2/R1 ratio, indicating that a burst of synaptic activity alone is unable to induce M1 mACh receptor desensitization (data not shown).|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.68	17908240_121|17908240|16053|Results|0:0|These data suggest that the enhancement of M1 mACh receptor desensitization by picrotoxin is dependent on AMPA receptor activation.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.67	17908240_231|17908240|45007|Discussion|0:0|As such it provides the first evidence that ionotropic glutamate receptor-mediated synaptic activity can dramatically alter M1 mACh receptor responsiveness by mechanisms involving both GRK2 and PKC(s) in primary neurons.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.66	17908240_115|17908240|14966|Results|0:0|These data suggest that the degree of synaptic activity also regulates the duration of agonist-mediated desensitization, and a delay in M1 mACh receptor re-sensitization is particularly evident when inhibitory GABAergic activity is blocked by picrotoxin.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.65	17908240_95|17908240|11513|Results|0:0|However, in the presence of spontaneous synaptic activity the difference between R2 and R1 responses was increased (Fig. 1b), suggesting that synaptic activity may increase the rate/extent of M1 mACh receptor desensitization.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.65	17908240_141|17908240|19645|Results|0:0|In contrast, expression of K215RGRK6 did not affect M1 mACh receptor desensitization in TTx-treated, or spontaneously synaptically-active neurons (Fig. 3e).|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.64	17908240_14|17908240|3572|abstract|0:0|We have also already provided substantial evidence that M1 mACh receptor/PLC signalling in hippocampal neurons is regulated by G protein-coupled receptor kinases (GRKs).|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.64	17908240_239|17908240|45007|Discussion|0:0|Therefore, it is tempting to speculate that ionotropic modulation of the magnitude and/or longevity of receptor desensitization might not only lead to changes in plasmalemmal M1 mACh receptor expression, but also potentially lead to altered neuronal signal transduction through arrestin-dependent orchestration of key signalling pathways.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.63	17908240_139|17908240|19589|Results|0:0|Involvement of GRKs in M1 mACh receptor desensitization|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.62	17908240_176|17908240|30349|Results|0:0|The translocation of eGFP-MARCKS indicates that PKC activity can be stimulated in hippocampal neurons following stimulation of the M1 mACh receptor and also following picrotoxin-mediated enhancement of synaptic activity.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.62	17908240_208|17908240|37060|Results|0:0|As reported above, the change in eGFP-PKCepsilon translocation before and after a desensitizing MCh challenge can provide an readout of receptor desensitization, however, picrotoxin (100 mumol/L) addition per se did not promote eGFP-PKCepsilon translocation, nor did it appear to affect agonist-mediated M1 mACh receptor regulation (Fig. 8b).|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
##EndOfRet##
17908240_11|17908240|19645|#section_info|0:0|However, inhibition of endogenous GRK6 appeared to partially prevent picrotoxin-enhanced M1 mACh receptor desensitization (Fig. 3e).|#main_body|GO:0002029|desensitization of G-protein coupled receptor protein signaling pathway|#go_definition|IMP|GOA|Grk6(59076)|#gene_synonym
0.76	17908240_141|17908240|19645|Results|0:0|In contrast, expression of K215RGRK6 did not affect M1 mACh receptor desensitization in TTx-treated, or spontaneously synaptically-active neurons (Fig. 3e).|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.73	17908240_139|17908240|19589|Results|0:0|Involvement of GRKs in M1 mACh receptor desensitization|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.67	17908240_83|17908240|11448|Results|0:0|Effects of synaptic activity on M1 mACh receptor desensitization|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.67	17908240_121|17908240|16053|Results|0:0|These data suggest that the enhancement of M1 mACh receptor desensitization by picrotoxin is dependent on AMPA receptor activation.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.67	17908240_142|17908240|20989|Results|0:0|Effects of inhibiting endogenous G protein-coupled receptor kinase (GRK) 2 and GRK6 activities on M1 muscarinic acetylcholine (mACh) receptor responsiveness.|#fig_caption|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.67	17908240_149|17908240|22164|Results|0:0|Involvement of PKC in M1 mACh receptor desensitization|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.67	17908240_208|17908240|37060|Results|0:0|As reported above, the change in eGFP-PKCepsilon translocation before and after a desensitizing MCh challenge can provide an readout of receptor desensitization, however, picrotoxin (100 mumol/L) addition per se did not promote eGFP-PKCepsilon translocation, nor did it appear to affect agonist-mediated M1 mACh receptor regulation (Fig. 8b).|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.66	17908240_116|17908240|15947|Results|0:0|Effects of ionotropic glutamate receptor blockade on picrotoxin-enhanced M1 mACh receptor desensitization|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.66	17908240_118|17908240|16053|Results|0:0|Inhibition of NMDA receptors using D-AP5 (50 mumol/L) had no effect on the picrotoxin-enhanced M1 mACh receptor desensitization (Fig. 2b; Table 1).|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.66	17908240_127|17908240|17730|Results|0:0|Inhibition of alpha-amino-3-hydroxy-5-methyl-4-isoxazolepropionic acid, but not NMDA receptors prevents picrotoxin-mediated enhancement of M1 muscarinic acetylcholine receptor desensitization|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.66	17908240_231|17908240|45007|Discussion|0:0|As such it provides the first evidence that ionotropic glutamate receptor-mediated synaptic activity can dramatically alter M1 mACh receptor responsiveness by mechanisms involving both GRK2 and PKC(s) in primary neurons.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.65	17908240_95|17908240|11513|Results|0:0|However, in the presence of spontaneous synaptic activity the difference between R2 and R1 responses was increased (Fig. 1b), suggesting that synaptic activity may increase the rate/extent of M1 mACh receptor desensitization.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.62	17908240_115|17908240|14966|Results|0:0|These data suggest that the degree of synaptic activity also regulates the duration of agonist-mediated desensitization, and a delay in M1 mACh receptor re-sensitization is particularly evident when inhibitory GABAergic activity is blocked by picrotoxin.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.62	17908240_219|17908240|37977|Discussion|0:0|We have also shown that activation of M1 mACh receptors can increase synaptic excitability in hippocampal neurons, probably via an agonist-mediated depletion of phosphatidylinositol 4,5-bisphosphate and activation of Ih (Young et al.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.61	17908240_109|17908240|14900|Results|0:0|Effects of synaptic activity on M1 mACh receptor re-sensitization|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.61	17908240_133|17908240|18871|Results|0:0|In order to assess whether synaptic activity was able to enhance M1 mACh receptor desensitization in the absence of MCh, we applied the following protocol.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.61	17908240_232|17908240|45007|Discussion|0:0|What might be the consequences of greater and/or more sustained M1 mACh receptor desensitization?|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
##EndOfRet##
17908240_12|17908240|22219|#section_info|0:0|Thus, these data are strongly suggestive that under conditions of picrotoxin-enhanced synaptic activity, GRK2 and PKCs act together to enhance M1 mACh receptor desensitization.|#main_body|GO:0002029|desensitization of G-protein coupled receptor protein signaling pathway|#go_definition|NONE|GOA|Adrbk1(25238)|#gene_synonym
0.74	17908240_231|17908240|45007|Discussion|0:0|As such it provides the first evidence that ionotropic glutamate receptor-mediated synaptic activity can dramatically alter M1 mACh receptor responsiveness by mechanisms involving both GRK2 and PKC(s) in primary neurons.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.72	17908240_121|17908240|16053|Results|0:0|These data suggest that the enhancement of M1 mACh receptor desensitization by picrotoxin is dependent on AMPA receptor activation.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.71	17908240_115|17908240|14966|Results|0:0|These data suggest that the degree of synaptic activity also regulates the duration of agonist-mediated desensitization, and a delay in M1 mACh receptor re-sensitization is particularly evident when inhibitory GABAergic activity is blocked by picrotoxin.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.69	17908240_83|17908240|11448|Results|0:0|Effects of synaptic activity on M1 mACh receptor desensitization|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.69	17908240_95|17908240|11513|Results|0:0|However, in the presence of spontaneous synaptic activity the difference between R2 and R1 responses was increased (Fig. 1b), suggesting that synaptic activity may increase the rate/extent of M1 mACh receptor desensitization.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.67	17908240_133|17908240|18871|Results|0:0|In order to assess whether synaptic activity was able to enhance M1 mACh receptor desensitization in the absence of MCh, we applied the following protocol.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.67	17908240_139|17908240|19589|Results|0:0|Involvement of GRKs in M1 mACh receptor desensitization|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.67	17908240_195|17908240|35275|Results|0:0|Effects of synaptic activity on M1 muscarinic acetylcholine receptor responsiveness assessed at the level of protein kinase C (PKC) isoenzyme recruitment to the plasma membrane in hippocampal neurons.|#fig_caption|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.67	17908240_239|17908240|45007|Discussion|0:0|Therefore, it is tempting to speculate that ionotropic modulation of the magnitude and/or longevity of receptor desensitization might not only lead to changes in plasmalemmal M1 mACh receptor expression, but also potentially lead to altered neuronal signal transduction through arrestin-dependent orchestration of key signalling pathways.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.66	17908240_14|17908240|3572|abstract|0:0|We have also already provided substantial evidence that M1 mACh receptor/PLC signalling in hippocampal neurons is regulated by G protein-coupled receptor kinases (GRKs).|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.66	17908240_176|17908240|30349|Results|0:0|The translocation of eGFP-MARCKS indicates that PKC activity can be stimulated in hippocampal neurons following stimulation of the M1 mACh receptor and also following picrotoxin-mediated enhancement of synaptic activity.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.65	17908240_149|17908240|22164|Results|0:0|Involvement of PKC in M1 mACh receptor desensitization|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.65	17908240_219|17908240|37977|Discussion|0:0|We have also shown that activation of M1 mACh receptors can increase synaptic excitability in hippocampal neurons, probably via an agonist-mediated depletion of phosphatidylinositol 4,5-bisphosphate and activation of Ih (Young et al.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.64	17908240_1|17908240|0|paper_title|0:0|The regulation of M1 muscarinic acetylcholine receptor desensitization by synaptic activity in cultured hippocampal neurons1|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.64	17908240_109|17908240|14900|Results|0:0|Effects of synaptic activity on M1 mACh receptor re-sensitization|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.64	17908240_110|17908240|14966|Results|0:0|We further examined the time period between desensitization and R2 application to assess the effects of synaptic activity on M1 mACh receptor re-sensitization.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.64	17908240_138|17908240|18871|Results|0:0|Under these conditions picrotoxin failed to produce any change in the R2/R1 ratio, indicating that a burst of synaptic activity alone is unable to induce M1 mACh receptor desensitization (data not shown).|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.63	17908240_142|17908240|20989|Results|0:0|Effects of inhibiting endogenous G protein-coupled receptor kinase (GRK) 2 and GRK6 activities on M1 muscarinic acetylcholine (mACh) receptor responsiveness.|#fig_caption|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.62	17908240_11|17908240|2283|abstract|0:0|Indeed, there is recent strong evidence for modulation of synaptic plasticity by the physiological activation of hippocampal M1 mACh receptors (Shinoe et al.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.62	17908240_101|17908240|13703|Results|0:0|Effects of synaptic activity on M1 muscarinic acetylcholine (mACh) receptor responsiveness and re-sensitization assessed through inositol 1,4,5-trisphosphate (IP3) imaging of hippocampal neurons.|#fig_caption|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.62	17908240_141|17908240|19645|Results|0:0|In contrast, expression of K215RGRK6 did not affect M1 mACh receptor desensitization in TTx-treated, or spontaneously synaptically-active neurons (Fig. 3e).|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.62	17908240_233|17908240|45007|Discussion|0:0|There is substantial evidence that GRK-mediated phosphorylation of mACh receptors brings about the recruitment of arrestins that enhance receptor internalization and lead to the redistribution of receptors to organellar compartments within the cytoplasm in primary neurons (Volpicelli and Levey 2004; Bernard et al.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.61	17908240_7|17908240|2283|abstract|0:0|Effective transmission of cholinergic input is mediated by nicotinic and muscarinic acetylcholine (mACh) receptors, with the M1 and M3 mACh receptor subtypes being expressed on principal neurons (Levey et al.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.61	17908240_25|17908240|3572|abstract|0:0|Indeed, previous studies have revealed that the level of synaptic activity in such cultures dramatically alters M1 mACh receptor inositol 1,4,5-trisphosphate generation and Ca2+ release from stores (Nash et al.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.61	17908240_116|17908240|15947|Results|0:0|Effects of ionotropic glutamate receptor blockade on picrotoxin-enhanced M1 mACh receptor desensitization|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.61	17908240_203|17908240|35275|Results|0:0|(d) cumulative data showing the effects of spontaneous activity and picrotoxin (100 mumol/L)-stimulated synaptic activity on M1 muscarinic acetylcholine receptor desensitization measured using the standard R1/Rmax/R2 protocol.|#fig_caption|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.61	17908240_208|17908240|37060|Results|0:0|As reported above, the change in eGFP-PKCepsilon translocation before and after a desensitizing MCh challenge can provide an readout of receptor desensitization, however, picrotoxin (100 mumol/L) addition per se did not promote eGFP-PKCepsilon translocation, nor did it appear to affect agonist-mediated M1 mACh receptor regulation (Fig. 8b).|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.61	17908240_283|17908240|52203|Discussion|0:0|Roles of phosphorylation-dependent and -independent mechanisms in the regulation of M1 muscarinic acetylcholine receptors by G protein-coupled receptor kinase 2 in hippocampal neurons|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
##EndOfRet##
17908240_13|17908240|25579|#section_info|0:0|Stimulation of M1 mACh receptors with MCh (3 mumol/L) produced a rapid and transient translocation of MARCKS to the cytoplasm, which quickly returned to the plasma membrane on agonist removal. |#main_body|GO:0090316|positive regulation of intracellular protein transport|#go_definition|IDA|GOA|Chrm1(25229)|#gene_synonym
0.77	17908240_162|17908240|27003|Results|0:0|Agonist addition [methacholine (MCh), 3 mumol/L] for 30 s induced a robust translocation of eGFP-MARCKS from the plasma membrane to the cytoplasm, which completely reversed after agonist removal.|#fig_caption|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.67	17908240_209|17908240|37060|Results|0:0|In contrast, while agonist addition caused minimal translocation of eGFP-PKCbetaII, picrotoxin treatment (100 mumol/L) induced rapid, transient eGFP-PKCbetaII translocations to the plasma membrane, which mirrored the changes in intracellular [Ca2+] (Fig. 8c).|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.65	17908240_61|17908240|7956|Materials and methods|0:0|EC50 concentration of the mACh receptor agonist MCh (10 mumol/L) for 30 s (termed R1) followed by a 5 min washout to allow recovery.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.65	17908240_208|17908240|37060|Results|0:0|As reported above, the change in eGFP-PKCepsilon translocation before and after a desensitizing MCh challenge can provide an readout of receptor desensitization, however, picrotoxin (100 mumol/L) addition per se did not promote eGFP-PKCepsilon translocation, nor did it appear to affect agonist-mediated M1 mACh receptor regulation (Fig. 8b).|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.64	17908240_233|17908240|45007|Discussion|0:0|There is substantial evidence that GRK-mediated phosphorylation of mACh receptors brings about the recruitment of arrestins that enhance receptor internalization and lead to the redistribution of receptors to organellar compartments within the cytoplasm in primary neurons (Volpicelli and Levey 2004; Bernard et al.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.62	17908240_175|17908240|30246|Results|0:0|Effects of picrotoxin and M1 mACh receptor activation on the translocation of PKCbetaII and PKCepsilon|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.62	17908240_186|17908240|32207|Results|0:0|eGFP-PKCbetaII or eGFP-PKCepsilon transfected neurons were challenged with PiTx (100 mumol/L) and PKC translocation to the plasma membrane determined as the decrease in cytosolic fluorescence.|#fig_caption|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.62	17908240_195|17908240|35275|Results|0:0|Effects of synaptic activity on M1 muscarinic acetylcholine receptor responsiveness assessed at the level of protein kinase C (PKC) isoenzyme recruitment to the plasma membrane in hippocampal neurons.|#fig_caption|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.61	17908240_121|17908240|16053|Results|0:0|These data suggest that the enhancement of M1 mACh receptor desensitization by picrotoxin is dependent on AMPA receptor activation.|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
##EndOfRet##
